# Source:
# sentimentdictionary-uk / tonSUM.3.0.csv
# https://github.com/Oksana504/sentimentdictionary-uk
#
# Format:
# 'word',score,corpus_style
#
# The original file includes repeated lemmas across styles. The analyzer averages
# scores for duplicated lemmas while building the lexicon dictionary.

'мураха',0,буденність
'мучитель',-2,буденність
'мучититель',-2,буденність
'міністр',0,буденність
'надія',1,буденність
'насильство',-2,буденність
'ненависть',-2,буденність
'непоганий',1,буденність
'неприємність',-1,буденність
'нерв',-1,буденність
'нестача',-1,буденність
'нісенітниця',-1,буденність
'ніяковість',-1,буденність
'обман',-2,буденність
'образа',-2,буденність
'огида',-2,буденність
'перемога',2,буденність
'повага',1,буденність
'поганий',-2,буденність
'похвала',1,буденність
'правда',1,буденність
'радість',2,буденність
'свобода',2,буденність
'слава',1,буденність
'смерть',-2,буденність
'сміх',1,буденність
'страх',-2,буденність
'успіх',2,буденність
'халепа',-2,буденність
'хоробрість',1,буденність
'щастя',2,буденність
'щирість',1,буденність
'яскравий',1,буденність
