Word//word combination	Sentiment scores
боліти	-1.8666666666666665
бомба	-2.0
бомбардувальник	-1.5
бомбардування	-1.0
бомбардувати	-1.9
бомбастичний	-2.0
бомбити	-1.5
бомбосховище	-1.6
бомбування	-1.2666666666666666
бомж	-2.0
бонкери	-2.0
бонус	1.565
бонуси	2.0
борг	-1.25
борговий	-1.5
боргів	-2.0
бореться	-2.0
борець	1.3333333333333333
боржник	-1.4
бориспіль	1.38
боровся	-2.0
борода	1.0
борона	-2.0
боронити	1.8
боротьба	1.0
борщ	1.6
ботанічний	1.0
ботулізм	-1.4
боягуз	-2.0
боягузливий	-2.0
боягузливість	-2.0
боягузтво	-1.5
боязкий	-1.0
боязкуватий	-1.5
боязнь	-1.5
боятися	-1.75
бояться	-2.0
боєприпас	-1.0
бравада	-2.0
браво	2.0
брак	-1.7933333333333332
браконьєр	-1.9333333333333333
браконьєрський	-1.8
бракувало	-2.0
бракувати	-1.2933333333333332
бранка	-2.0
брат	1.5
братній	2.0
братовбивчий	-1.5
братський	1.5
браття	1.5
бред пітт	1.0
бренд	1.0
брехати	-1.4
брехливий	-2.0
брехня	-1.1
брехун	-2.0
брехуни	-2.0
бридкий	-1.8
бризкання	-2.0
бризки	-2.0
британці	1.25
британія	1.0
брова	1.0
брови	-2.0
бродяга	-1.0
броньований	1.4000000000000001
брошка	1.0
бруд	-1.0
брудний	-1.7333333333333334
бруднити	-1.5
брудно	-1.7
брусковий	-2.0
брутальний	-1.25
бруталізувати	-2.0
брутто	-2.0
брухт	-1.0
брязкали	-2.0
брязкальце	-2.0
брязкальця	-2.0
брязкати	-2.0
бувалий	1.0
будда	2.0
буденний	-1.065
буденність	-0.9
будинок	1.5
будиночок	1.0
будувати	1.5
будівельник	1.13
будівництво	1.63
бузок	1.6
буйний	-2.0
буйство	-2.0
букет	1.5433333333333332
буковина	1.8
булава	1.6
булка	1.4
булька	-1.1333333333333333
булімія	1.0
булінг	-1.0
бунт	-1.5999999999999999
бунтувати	-1.5
бунтівний	1.6
бунтівник	-1.5
бур'ян	-1.4
бургер	1.2
буржуазія	-1.5
буржуй	-1.5
буркотливий	-1.5
бурхливість	2.0
бурчати	-1.2
буря	-1.3
бур’ян	-2.0
бусурман	-2.0
бутерброд	1.4
бути	1.13
бутон	1.2
бухати	-2.0
бухгалтер	1.0
буяти	1.0
бьюті	1.4
бюджет	1.25
бюрократ	-1.2666666666666666
бюрократизм	-2.0
бюрократичний	-1.0
бюрократія	-1.0666666666666667
бюстгальтер	1.4
бюсти	-2.0
бібліотека	1.6
біблія	1.8
бігун	1.4
біда	-1.375
бідний	-1.7
бідно	-1.5
бідняк	-1.8
бідняки	-2.0
бідність	-1.4
бідніший	-2.0
бідолаха	-2.0
бідолашний	-2.0
бідувати	-1.6
біженець	-1.2
бізнес	1.38
бізон	1.0
бійка	-1.5333333333333332
бійня	-2.0
бікер	-2.0
бікіні	1.4
білабор	-2.0
білегер	-2.0
білизна	1.6
білок	1.4
білосніжний	1.5999999999999999
біль	-1.815
біль у спині	-2.0
більш відомий	2.0
більш галасливий	-2.0
більший	1.4
білявка	1.2
біноколь	1.2
біографія	1.2
біозахист	1.6
біопаливо	1.0
біс	-1.6666666666666667
бісексуал	-0.9333333333333332
бісквіт	1.4
в достатку	2.0
в пастці	-2.0
в розпачі	-2.0
в ідеалі	2.0
в'язаний	1.5
в'язень	-1.4
в'язкість	-2.0
в'язниця	-2.0
в'ялий	-1.0
в'ялість	-2.0
вабить	2.0
вагатися	-1.0
вагаючись	-2.0
вагомість	1.0
вагітна	1.2
вагітність	1.2
вада	-1.38
вади	-2.0
важелі	2.0
важке становище	-2.0
важко	-1.0
важко на чолі	-2.0
важковиліковний	-2.0
важкосердечний	-2.0
